sigma,window_size,threshold,absmean
0.5,40,0.0002565829274355796,4.8431547679690015e-05
0.5,50,0.00024951694572865915,3.818639782570909e-05
0.6,40,0.00017130815808977338,3.137500703047776e-05
0.6,50,0.0001410819718003548,2.430589935134159e-05
0.7,40,0.00012287256103049875,2.2097375332838464e-05
0.7,50,8.953066379869859e-05,1.693033528666473e-05
0.8,40,9.263670653473295e-05,1.6481221310950946e-05
0.8,50,6.196924726087875e-05,1.254346790297127e-05
0.9,40,7.245324576762949e-05,1.2815192563495807e-05
0.9,50,4.544587094961332e-05,9.717855856068196e-06
1.0,40,5.828867937129251e-05,1.0284921584439353e-05
1.0,50,3.481083845574607e-05,7.787543503586793e-06
1.5,40,2.5647743903098484e-05,4.598300463387386e-06
1.5,50,1.4939213466012577e-05,3.517928315194724e-06
2.0,40,1.452465194204985e-05,2.7096873122906532e-06
2.0,50,8.589983670489256e-06,2.1239559210423474e-06
2.5,40,9.429130237075479e-06,1.85338251864146e-06
2.5,50,5.695876784634123e-06,1.4963678583599833e-06
3.0,40,6.6752201810421554e-06,1.3929646627060432e-06
3.0,50,4.123764294170379e-06,1.1601299013299264e-06
