sigma,window_size,threshold,absmean
0.01,50,7.607599313418759,0.789660685342421
0.02,50,1.9736819360318587,0.20184730577092266
0.025,50,1.2688454106729399,0.12953156512216568
0.05,50,0.31912279683379446,0.03250008451555411
0.075,50,0.14199052362796438,0.014454170394048296
0.1,50,0.07990084457964088,0.008132380035583302
0.2,50,0.01998273090993486,0.0020335554795300873
0.25,50,0.012789525484254488,0.0013015108803202113
0.5,50,0.003197573953661696,0.0003253895119990944
0.75,50,0.001421159830692422,0.00014461853145032958
1.0,50,0.0007994055255660816,8.134811502523954e-05
1.5,50,0.00035529233540923234,3.615477844810302e-05
2.0,50,0.00019985213369050865,2.0337074818769512e-05
2.5,50,0.00012790542337220247,1.3015731425855677e-05
5.0,50,3.1976375109816865e-05,3.253934035564279e-06
