sigma,window_size,threshold,absmean
0.5,50,0.28112261545068945,0.03142941325653374
0.6,50,0.20712815825596448,0.023633717855362307
0.7,50,0.15273035633345378,0.018065954678579584
0.8,50,0.11900731070712844,0.014011988122581875
0.9,50,0.09365165613945746,0.01106404149193828
1.0,50,0.07525599357421413,0.008861534205825004
1.5,50,0.03137108536170161,0.0035113454844775452
2.0,50,0.01685479768396363,0.0017103005344426122
2.5,50,0.010250250971540305,0.0009421406330489613
3.0,50,0.007030887493592989,0.0005617940302668703
