alpha,lambda,eta,threshold,absmean
0.1,0.5,0.1,4161.477765201364,1113.8112068409027
0.1,1.0,0.1,1176.6846292472983,148.1382644155242
0.15,0.5,0.1,4142.604569177731,1125.7711009008656
0.15,1.0,0.1,1196.1684545078315,161.10888887315315
0.3,0.5,0.1,4161.227915049987,1139.6377094419372
0.3,1.0,0.1,1119.2155968259958,167.77619065070854
0.6,0.5,0.1,4168.634199894766,1145.0666782289725
0.6,1.0,0.1,1107.8017162316137,172.09761640317973
0.9,0.5,0.1,4164.344058580364,1144.7009984576334
0.9,1.0,0.1,1111.1610524875869,173.92253386663424
1.0,0.5,0.1,4160.250151912662,1143.8584081299236
1.0,1.0,0.1,1111.7630354780777,174.24725328649137
