sigma,window_size,threshold,absmean
0.01,50,17.42909139049641,2.7864637282995606
0.02,50,18.206680570310162,2.191295106399553
0.025,50,21.161455498515558,2.019619106090899
0.05,50,8.903995435267515,1.4693782514907447
0.075,50,7.535910715712018,1.1782273619741679
0.1,50,5.830574907195086,0.9469363778485607
0.2,50,2.6139056922256487,0.3871384360254359
0.25,50,1.7341475026289328,0.2480292575347524
0.5,50,0.4368649098425707,0.052309936419339675
0.75,50,0.196324497159903,0.02038232329458171
0.9,50,0.1390417150182667,0.013492990962008298
1.0,50,0.11651009432210238,0.010662237453019106
1.2,50,0.08724204496150698,0.006592917474876262
1.5,50,0.04208379699327479,0.0030584961722264613
2.0,50,0.016958513054211956,0.0011435525162345297
2.5,50,0.008832357691254842,0.0005583490045059944
5.0,50,0.0015263208542457476,8.108547493098057e-05
6.0,50,0.001011360877225885,5.214186458782602e-05
7.0,50,0.0007214940898995575,3.6460165816812056e-05
10.0,50,0.00033860619722944,1.658528059210265e-05
