sigma,threshold,FA,DD,ND
0.1,82.93525327017211,0,19.0$\pm$0.0,9
0.2,68.32358171757124,0,32.1$\pm$41.2,3
0.3,26.0047264520297,0,15.3$\pm$5.5,0
0.4,15.570777293908915,0,10.8$\pm$4.6,0
0.5,13.354095673705551,0,10.8$\pm$4.2,0
0.6,13.13521342888646,0,11.1$\pm$4.3,0
0.7,13.037467299945819,0,11.2$\pm$4.3,0
0.8,11.267231812109538,0,10.9$\pm$4.2,0
0.9,9.175991335200111,0,10.3$\pm$3.7,0
1.0,7.597134396081414,0,10.0$\pm$3.4,0
1.5,3.559384813212049,0,8.7$\pm$3.3,0
2.0,2.0400608456256006,0,8.5$\pm$3.3,0
2.5,1.3170919720179433,0,8.5$\pm$3.3,0
3.0,0.9190096434152973,0,8.5$\pm$3.3,0
