sigma,threshold,FA,DD,ND
0.1,11.304906855338302,0,5.1$\pm$3.1,0
0.2,5.490864860846213,0,6.6$\pm$4.2,0
0.3,4.060212366678781,0,14.4$\pm$15.7,0
0.4,2.8389834865779586,0,28.7$\pm$26.4,0
0.5,1.838632028876285,0,22.1$\pm$21.5,0
0.6,1.0922748378532083,0,22.8$\pm$21.2,0
0.7,0.9137139351568028,0,23.2$\pm$20.8,0
0.8,0.7945237027075575,0,25.2$\pm$19.9,0
0.9,0.6347387456731473,0,25.2$\pm$19.9,0
1.0,0.4668883908775797,0,20.0$\pm$17.2,0
1.5,0.22124155064403023,0,19.6$\pm$16.8,0
2.0,0.1294387505233445,0,20.0$\pm$16.6,0
