p,beta,threshold,FA,DD,ND
1,0.3,6.874025208404867,0,5.7$\pm$1.4,0
1,0.5,6.2833778519708305,0,5.4$\pm$1.6,0
1,0.7,5.425818998826098,0,5.3$\pm$1.3,0
1,0.9,5.060567978336111,0,5.2$\pm$1.2,0
1,1.1,5.719235103396791,0,6.1$\pm$1.4,0
1,1.5,4.891530807799883,0,5.7$\pm$1.7,0
2,0.3,6.874025208404867,0,5.7$\pm$1.4,0
2,0.5,6.2833778519708305,0,5.4$\pm$1.6,0
2,0.7,5.425818998826098,0,5.3$\pm$1.3,0
2,0.9,5.060567978336111,0,5.2$\pm$1.2,0
2,1.1,5.719235103396791,0,6.1$\pm$1.4,0
2,1.5,4.891530807799883,0,5.7$\pm$1.7,0
