alpha,lambda,eta,threshold,FA,DD,ND
0.05,0.5,0.2,0.0,0,1.4$\pm$0.7,0
0.05,1.0,0.2,0.0,0,1.4$\pm$0.5,0
0.05,1.5,0.2,0.0,0,1.7$\pm$0.5,0
0.05,1.6,0.2,0.0,0,1.8$\pm$0.4,0
0.2,0.5,0.2,0.0,0,1.8$\pm$1.0,0
0.2,1.0,0.2,0.0,0,1.4$\pm$0.7,0
0.2,1.5,0.2,0.0,0,1.2$\pm$0.4,0
0.2,1.6,0.2,0.0,0,1.2$\pm$0.4,0
0.5,0.5,0.2,0.0,0,2.3$\pm$1.1,0
0.5,1.0,0.2,0.0,0,1.8$\pm$0.7,0
0.5,1.5,0.2,0.0,0,1.5$\pm$0.7,0
0.5,1.6,0.2,0.0,0,1.3$\pm$0.5,0
0.8,0.5,0.2,0.0,0,2.6$\pm$1.2,0
0.8,1.0,0.2,0.0,0,2.1$\pm$1.0,0
0.8,1.5,0.2,0.0,0,1.6$\pm$0.8,0
0.8,1.6,0.2,0.0,0,1.6$\pm$0.8,0
1.0,0.5,0.2,0.0,0,2.6$\pm$1.2,0
1.0,1.0,0.2,0.0,0,2.1$\pm$1.0,0
1.0,1.5,0.2,0.0,0,1.7$\pm$0.9,0
1.0,1.6,0.2,0.0,0,1.6$\pm$0.8,0
5.0,0.5,0.2,0.0,0,3.0$\pm$1.8,0
5.0,1.0,0.2,0.0,0,2.1$\pm$1.0,0
5.0,1.5,0.2,0.0,0,1.8$\pm$1.1,0
5.0,1.6,0.2,0.0,0,1.8$\pm$1.1,0
