alpha,lambda,eta,threshold,FA,DD,ND
1e-07,0.5,0.2,26.454729592011063,0,1.1$\pm$0.3,0
1e-07,1.0,0.2,0.0,0,1.0$\pm$0.0,0
1e-07,1.5,0.2,0.0,0,1.1$\pm$0.3,0
1e-07,1.6,0.2,0.0,0,1.1$\pm$0.3,0
1e-06,0.5,0.2,0.0,0,1.1$\pm$0.3,0
1e-06,1.0,0.2,0.0692673854464374,0,1.0$\pm$0.0,0
1e-06,1.5,0.2,0.0,0,1.0$\pm$0.0,0
1e-06,1.6,0.2,0.0,0,1.0$\pm$0.0,0
1e-05,0.5,0.2,2.156455991977964,0,1.3$\pm$0.6,0
1e-05,1.0,0.2,1.5770141308557868,0,1.1$\pm$0.3,0
1e-05,1.5,0.2,0.0,0,1.0$\pm$0.0,0
1e-05,1.6,0.2,0.0,0,1.0$\pm$0.0,0
0.0001,0.5,0.2,16.109758798919756,0,1.4$\pm$0.7,0
0.0001,1.0,0.2,6.863702501794251,0,1.1$\pm$0.3,0
0.0001,1.5,0.2,0.0,0,1.0$\pm$0.0,0
0.0001,1.6,0.2,0.0,0,1.0$\pm$0.0,0
0.001,0.5,0.2,9.562884310307709,0,1.5$\pm$0.7,0
0.001,1.0,0.2,0.0,0,1.1$\pm$0.3,0
0.001,1.5,0.2,0.0,0,1.0$\pm$0.0,0
0.001,1.6,0.2,0.0,0,1.0$\pm$0.0,0
0.01,0.5,0.2,3.4437762991706222,0,1.5$\pm$0.7,0
0.01,1.0,0.2,0.0,0,1.2$\pm$0.4,0
0.01,1.5,0.2,0.0,0,1.2$\pm$0.4,0
0.01,1.6,0.2,0.0,0,1.2$\pm$0.4,0
