sigma,threshold,FA,DD,ND
0.1,45.267085750937994,0,14.0$\pm$0.0,9
0.2,44.07477040865093,0,15.7$\pm$3.1,7
0.3,36.25217180222698,0,52.9$\pm$33.7,1
0.4,35.94766157985333,0,34.5$\pm$33.8,2
0.5,29.045592741680174,0,27.6$\pm$24.0,1
0.6,23.09017175275322,0,27.1$\pm$23.4,1
0.7,18.382822200507892,0,18.9$\pm$14.3,0
0.8,15.018969101004958,0,13.7$\pm$2.0,0
0.9,14.941382655868374,0,14.3$\pm$3.0,0
1.0,14.307726546509835,0,26.9$\pm$37.8,0
1.5,8.603042836792923,0,12.9$\pm$3.8,0
2.0,5.228984269459783,0,12.3$\pm$4.1,0
