sigma,window_size,threshold,absmean
0.9,30,19.402445287107884,15.548198135211846
0.9,40,20.790192591980997,15.573921493325381
0.9,50,19.549344284470713,14.930200568266883
1.0,30,18.044849026938973,13.75153116415122
1.0,40,18.347042177301876,13.666149119781302
1.0,50,17.362826341456678,13.056839196325901
1.5,30,10.687885135655234,8.43195916711733
1.5,40,12.08356888716565,8.491099846552716
1.5,50,11.015199323503325,8.013264866817716
2.0,30,9.554755684055412,6.392829266214323
2.0,40,8.909769856787802,6.601976812972246
2.0,50,8.505126481327336,6.182174274547414
2.5,30,7.448261163339609,4.969699166940784
2.5,40,7.013417039515216,4.942284293474392
2.5,50,6.499661416690826,4.571092009994786
3.0,30,5.673002933409453,3.8290358697262246
3.0,40,5.681000331840357,3.75027039671621
3.0,50,4.764766710170966,3.3980917495110576
