sigma,window_size,threshold,absmean
0.5,20,105.27259890893602,14.004979162891207
0.5,30,82.88519841061242,10.951305812482495
0.5,40,74.35380860554378,10.242561161251825
0.5,50,80.30673747396925,10.878476269227065
0.6,20,87.00284092720631,12.653970910121444
0.6,30,69.41005675065477,9.70099924545619
0.6,40,57.63020835194644,8.891412272703125
0.6,50,61.71408255037402,9.469898877849488
0.7,20,70.5957669170017,11.424050977019785
0.7,30,56.78255625202585,8.63573515532087
0.7,40,45.06872063990167,7.710092942483606
0.7,50,51.52129374454273,8.225448160513388
0.8,20,57.10105816136788,9.975779106428611
0.8,30,46.84158973002149,7.584800845467139
0.8,40,39.64911051929259,6.77393207093792
0.8,50,44.11535673756772,7.095257065160153
0.9,20,46.42207099079772,8.832691149436101
0.9,30,47.34278868382791,6.731778727611566
0.9,40,36.006355205480745,5.991400896910983
0.9,50,38.09480335100939,6.224407912285789
1.0,20,44.0452272182659,7.911067781218311
1.0,30,48.05191699300128,6.090396329100205
1.0,40,32.49469479297838,5.393799975906289
1.0,50,33.16262928906057,5.525247680824605
1.5,20,39.70150300245455,5.554056744926109
1.5,30,28.505922863870246,4.3914996164672395
1.5,40,19.235873267481942,3.8035759231207287
1.5,50,18.453950678817357,3.611067450328407
2.0,20,25.94978938730959,4.600822671444918
2.0,30,24.941455014723857,3.6898888599451842
2.0,40,15.78141773246077,3.127351369281313
2.0,50,11.458482241186944,2.8283847593000813
2.5,20,22.180494636631472,4.158392249975128
2.5,30,25.529071702392862,3.3339071359100747
2.5,40,12.021669068038948,2.739148110003724
2.5,50,8.754401433422226,2.366300534969772
3.0,20,28.81303570379594,3.9275001581249063
3.0,30,21.007937826537287,3.0891311337281224
3.0,40,9.414324170212076,2.42170891880187
3.0,50,7.538453835063978,2.042995200684458
3.5,20,29.73152918442577,3.763782957162894
3.5,30,16.705348580782875,2.886258658605615
3.5,40,8.739533589654737,2.219899471641598
3.5,50,6.677659918606172,1.8097086100515227
